"rental_id","rental_date","customer_id","customer_name","film_id","film_title","category"
2,"2005-05-24 22:54:33",459,"Tommy Collazo",333,"Freaky Pocus","Music"
3,"2005-05-24 23:03:39",408,"Manuel Murrell",373,"Graduate Lord","Children"
4,"2005-05-24 23:04:41",333,"Andrew Purdy",535,"Love Suicides","Horror"
5,"2005-05-24 23:05:21",222,"Delores Hansen",450,"Idols Snatchers","Children"
6,"2005-05-24 23:08:07",549,"Nelson Christenson",613,"Mystic Truman","Comedy"
7,"2005-05-24 23:11:53",269,"Cassandra Walters",870,"Swarm Gold","Horror"
8,"2005-05-24 23:31:46",239,"Minnie Romero",510,"Lawless Vision","Animation"
9,"2005-05-25 00:00:40",126,"Ellen Simpson",565,"Matrix Snowman","Foreign"
10,"2005-05-25 00:02:21",399,"Danny Isom",396,"Hanging Deep","Drama"
11,"2005-05-25 00:09:02",142,"April Burns",971,"Whale Bikini","Foreign"
12,"2005-05-25 00:19:27",261,"Deanna Byrd",347,"Games Bowfinger","Travel"
13,"2005-05-25 00:22:55",334,"Raymond Mcwhorter",499,"King Evolution","Family"
14,"2005-05-25 00:31:15",446,"Theodore Culp",593,"Monterey Labyrinth","Horror"
15,"2005-05-25 00:39:22",319,"Ronald Weiner",670,"Pelican Comforts","Documentary"
16,"2005-05-25 00:43:11",316,"Steven Curley",86,"Boogie Amelie","Music"
17,"2005-05-25 01:06:36",575,"Isaac Oglesby",181,"Contact Anonymous","Travel"
18,"2005-05-25 01:10:47",19,"Ruth Martinez",741,"Roman Punk","Music"
19,"2005-05-25 01:17:24",456,"Ronnie Ricketts",422,"Hollow Jeopardy","Sci-Fi"
20,"2005-05-25 01:48:41",185,"Roberta Harper",770,"Scissorhands Slums","Foreign"
21,"2005-05-25 01:59:46",388,"Craig Morrell",31,"Apache Divine","Family"
22,"2005-05-25 02:19:23",509,"Raul Fortier",159,"Closer Bang","Comedy"
23,"2005-05-25 02:40:21",438,"Barry Lovelace",971,"Whale Bikini","Foreign"
24,"2005-05-25 02:53:02",350,"Juan Fraley",721,"Reds Pocus","Music"
25,"2005-05-25 03:21:20",37,"Pamela Baker",863,"Sun Confessions","Sci-Fi"
26,"2005-05-25 03:36:50",371,"Billy Poulin",953,"Wait Cider","Animation"
27,"2005-05-25 03:41:50",301,"Robert Baughman",271,"Easy Gladiator","Action"
28,"2005-05-25 03:42:37",232,"Constance Reid",887,"Thief Pelican","Animation"
29,"2005-05-25 03:47:12",44,"Marie Turner",132,"Chainsaw Uptown","Sci-Fi"
30,"2005-05-25 04:01:32",430,"Ray Houle",819,"Song Hedwig","Music"
31,"2005-05-25 04:05:17",369,"Fred Wheat",979,"Witches Panic","Drama"
32,"2005-05-25 04:06:21",230,"Joy George",839,"Stallion Sundance","Sci-Fi"
33,"2005-05-25 04:18:51",272,"Kay Caldwell",367,"Goldmine Tycoon","Sci-Fi"
34,"2005-05-25 04:19:28",597,"Freddie Duggan",573,"Microcosmos Paradise","Children"
35,"2005-05-25 04:24:36",484,"Roberto Vu",284,"Enemy Odds","Music"
36,"2005-05-25 04:36:26",88,"Bonnie Hughes",288,"Escape Metropolis","Travel"
37,"2005-05-25 04:44:31",535,"Javier Elrod",89,"Borrowers Bedazzled","Animation"
38,"2005-05-25 04:47:44",302,"Michael Silverman",557,"Manchurian Curtain","Family"
